cases.0.submitter_id	file_id	file_name	file_size	id
MMRF_1607	65b2063f-32b1-4fa9-bc3b-2848fbd938f8	9974ae21-5813-43a1-89e0-60775e89bd4b_wgs_gdc_realn.cr.igv.reheader.seg.txt	46331	65b2063f-32b1-4fa9-bc3b-2848fbd938f8
MMRF_1607	785fe0fc-f96a-4e2d-8a9e-c8bf00360ae8	626e8f65-2684-44ff-9ede-94116e9c086d.wgs.gatk4.copy_number_variation.supplementary.tar.gz	242017458	785fe0fc-f96a-4e2d-8a9e-c8bf00360ae8
MMRF_2326	059b9cff-d1f5-4e60-b7c4-1b0dcf582b36	87c86cea-14f2-497f-8d8e-25d2297ef4d2_wgs_gdc_realn.cr.igv.reheader.seg.txt	113913	059b9cff-d1f5-4e60-b7c4-1b0dcf582b36
MMRF_2326	40a6b2d4-92d7-4401-ad92-16b7c797a0f4	716270fc-6c23-45f7-95a8-b3c37fa90570.wgs.gatk4.copy_number_variation.supplementary.tar.gz	246086291	40a6b2d4-92d7-4401-ad92-16b7c797a0f4
MMRF_1618	23cac246-f7c5-4780-aa7e-a4d0b5431306	45906cb3-d65c-474b-ac79-01c217ec44b1_wgs_gdc_realn.cr.igv.reheader.seg.txt	102463	23cac246-f7c5-4780-aa7e-a4d0b5431306
MMRF_1618	0a2c131c-170f-4163-b259-f1ba4d8f823f	1d7948e8-0f15-4a03-a1a2-38703f32b59f.wgs.gatk4.copy_number_variation.supplementary.tar.gz	241334515	0a2c131c-170f-4163-b259-f1ba4d8f823f
MMRF_2635	f200f1d4-bb25-429d-86e6-f7cc8d1dc58a	e0cd6007-fb8c-49be-ad47-f92855c608e2.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238575217	f200f1d4-bb25-429d-86e6-f7cc8d1dc58a
MMRF_2635	e52a425e-d4a1-4a9e-9165-7fd2815bbbdc	e0ff105b-d0b5-4be0-a914-4fb90cc928ed_wgs_gdc_realn.cr.igv.reheader.seg.txt	47773	e52a425e-d4a1-4a9e-9165-7fd2815bbbdc
MMRF_2764	78429d71-19fe-4b52-8167-0a32322d230e	3a8cc8f1-0d35-4229-b1ac-1f492cdb1556.wgs.gatk4.copy_number_variation.supplementary.tar.gz	241297549	78429d71-19fe-4b52-8167-0a32322d230e
MMRF_2764	ea44af47-9fa1-47d9-b399-c0fcd548bc3d	60f21f38-2402-4812-b77c-8dfe4a25c62f_wgs_gdc_realn.cr.igv.reheader.seg.txt	126834	ea44af47-9fa1-47d9-b399-c0fcd548bc3d
MMRF_2835	6fcaf66e-cf1e-4d16-a3a0-6be33fb87080	1a5d46d0-7490-4b55-ab25-e9a440589357_wgs_gdc_realn.cr.igv.reheader.seg.txt	76533	6fcaf66e-cf1e-4d16-a3a0-6be33fb87080
MMRF_2835	1c5efc71-b646-4a38-8e26-612addf012f5	8ac2cefe-5fd2-483d-8201-71200566d1d0.wgs.gatk4.copy_number_variation.supplementary.tar.gz	244322455	1c5efc71-b646-4a38-8e26-612addf012f5
MMRF_1772	83ea411c-f6af-4ded-b68c-b0344a7315e9	f12708bb-571f-4201-a473-0f77a0c975ee.wgs.gatk4.copy_number_variation.supplementary.tar.gz	237707177	83ea411c-f6af-4ded-b68c-b0344a7315e9
MMRF_2093	418fc58a-14b6-4da7-9b2e-0af7f59a353d	e9be3078-ac94-4bfd-bc05-d4d06992aea9_wgs_gdc_realn.cr.igv.reheader.seg.txt	53588	418fc58a-14b6-4da7-9b2e-0af7f59a353d
MMRF_2093	38d3bfeb-a5f5-4e4d-85aa-eba9440aac33	8234522b-2b25-4717-b95c-8c0d477cb652.wgs.gatk4.copy_number_variation.supplementary.tar.gz	232579461	38d3bfeb-a5f5-4e4d-85aa-eba9440aac33
MMRF_1871	aa9278c8-7cd9-4af7-b6c7-d3296e520db5	3f277663-8cc8-48a8-a01e-a1ceca56ab65.wgs.gatk4.copy_number_variation.supplementary.tar.gz	239392647	aa9278c8-7cd9-4af7-b6c7-d3296e520db5
MMRF_1020	e396416e-b7b8-4dba-928f-bd553df55c56	91f20781-c5f3-485b-a3dc-2caf19d71074.wgs.gatk4.copy_number_variation.supplementary.tar.gz	240675635	e396416e-b7b8-4dba-928f-bd553df55c56
MMRF_1020	0735e7e1-b502-4393-984f-46166614ed0b	eafe6cee-1a92-45db-ba4a-06cff86434db_wgs_gdc_realn.cr.igv.reheader.seg.txt	86956	0735e7e1-b502-4393-984f-46166614ed0b
MMRF_1671	eac66fb4-be77-4f0d-85cf-1809cbd9def7	93b50190-95c7-4af0-8b9b-5ee5ea299865.wgs.gatk4.copy_number_variation.supplementary.tar.gz	246781787	eac66fb4-be77-4f0d-85cf-1809cbd9def7
MMRF_1700	4a7b9042-e284-4359-b75b-a18442dbaf27	80e49834-c776-417e-a5ca-9a1cf7c83237.wgs.gatk4.copy_number_variation.supplementary.tar.gz	240172278	4a7b9042-e284-4359-b75b-a18442dbaf27
MMRF_2531	f96638b4-28ce-4259-94b4-8a2abc9f9e4b	37b8f90a-b4e5-4cac-821d-449a04b65b0e_wgs_gdc_realn.cr.igv.reheader.seg.txt	101929	f96638b4-28ce-4259-94b4-8a2abc9f9e4b
MMRF_2531	92caa884-fe2f-4680-8e2b-f218a5e4dc72	1d803d2e-cb24-4f5a-85a8-e8b72311ee4f.wgs.gatk4.copy_number_variation.supplementary.tar.gz	239388065	92caa884-fe2f-4680-8e2b-f218a5e4dc72
MMRF_2452	257f0ef3-e5ba-4f8f-aab0-603eb17a024b	d5aec679-665a-4a5d-91ab-7b39ccbf4b3b_wgs_gdc_realn.cr.igv.reheader.seg.txt	48852	257f0ef3-e5ba-4f8f-aab0-603eb17a024b
MMRF_2531	6e34ac9b-7559-48c2-a945-7b6f31f271d8	6773feb7-48ec-40fe-a3bd-bf7b605bc5ae_wgs_gdc_realn.cr.igv.reheader.seg.txt	100018	6e34ac9b-7559-48c2-a945-7b6f31f271d8
MMRF_2452	ee1adcd3-ae52-48a6-b557-66e8fa27dd96	a865d05c-205f-4f28-9d4c-47edd0a6f46f.wgs.gatk4.copy_number_variation.supplementary.tar.gz	234979157	ee1adcd3-ae52-48a6-b557-66e8fa27dd96
MMRF_2531	d7441ec8-071f-4390-8ff5-83844e5ac0a3	2d9c3a98-7685-464f-a7e9-2090b98f9095.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238779860	d7441ec8-071f-4390-8ff5-83844e5ac0a3
MMRF_2531	66424daa-f6a0-4824-8258-e64fa23dd11f	edf42f05-a030-49c6-80a0-61a80e26b5ab_wgs_gdc_realn.cr.igv.reheader.seg.txt	51743	66424daa-f6a0-4824-8258-e64fa23dd11f
MMRF_2655	e95ad8df-c2fe-4d61-acaa-92e613501067	fde573e1-255e-4f0d-970a-003927880b91.wgs.gatk4.copy_number_variation.supplementary.tar.gz	235255923	e95ad8df-c2fe-4d61-acaa-92e613501067
MMRF_2531	6236d282-c6e9-4281-9897-1e88db0c3b56	a6bf786b-765d-400d-a0bb-7bfc40f7fd35_wgs_gdc_realn.cr.igv.reheader.seg.txt	73618	6236d282-c6e9-4281-9897-1e88db0c3b56
MMRF_2404	d742496f-35f2-4745-bcf0-c253ffd21141	ccfc8f7d-b5c2-4d51-92ec-880cbaea630c.wgs.gatk4.copy_number_variation.supplementary.tar.gz	242990183	d742496f-35f2-4745-bcf0-c253ffd21141
MMRF_2517	e71650a9-3895-4b23-972a-2bef95dd297a	c29309d2-c8bc-4abd-9910-a705b5a59883_wgs_gdc_realn.cr.igv.reheader.seg.txt	54447	e71650a9-3895-4b23-972a-2bef95dd297a
MMRF_2507	b157f058-64af-4c18-adc9-d93e9a3e6a55	31c2aefe-b4ff-43f9-8ed9-97eebc46f407.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238102652	b157f058-64af-4c18-adc9-d93e9a3e6a55
MMRF_2709	7361fc74-2b3f-47af-84e9-b93c5eb8436d	debf1f08-8c03-4c48-a007-662a9ca4150d.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238905124	7361fc74-2b3f-47af-84e9-b93c5eb8436d
MMRF_2829	51b093c8-6cf5-4ad9-a0c4-526865cff93a	9725a8f2-03c8-43e4-b85b-455fc700f427.wgs.gatk4.copy_number_variation.supplementary.tar.gz	240720582	51b093c8-6cf5-4ad9-a0c4-526865cff93a
MMRF_2829	50bec326-f50a-4dc1-a655-e4e12394cbfc	6f614bc8-7e5b-44c0-bb14-6ace0202a65b_wgs_gdc_realn.cr.igv.reheader.seg.txt	99387	50bec326-f50a-4dc1-a655-e4e12394cbfc
MMRF_1574	c6aa3a16-d994-4620-8882-e5e4d21db117	f8ecf1af-5b50-470b-9e02-99045df7e7a1.wgs.gatk4.copy_number_variation.supplementary.tar.gz	235404590	c6aa3a16-d994-4620-8882-e5e4d21db117
MMRF_1426	c2d69d94-7474-4c50-95ba-c714da01785b	e34f7b72-4a74-4725-8694-30343d3d4ab2_wgs_gdc_realn.cr.igv.reheader.seg.txt	51027	c2d69d94-7474-4c50-95ba-c714da01785b
MMRF_1242	99acc53e-2056-4641-ad41-a163ef70facc	35829cb5-272a-4c0c-99fa-1be9e5e77591.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238305891	99acc53e-2056-4641-ad41-a163ef70facc
MMRF_2352	ceab90d8-7c60-45f8-9eb4-a1599a423e8f	16a912af-c6f1-4afb-9d2a-8d565a0346ed_wgs_gdc_realn.cr.igv.reheader.seg.txt	153806	ceab90d8-7c60-45f8-9eb4-a1599a423e8f
MMRF_1642	da970cb5-0672-4608-a12c-899deb409e03	553cd0cc-5285-4f42-a50f-d783a5e6f3ad_wgs_gdc_realn.cr.igv.reheader.seg.txt	45078	da970cb5-0672-4608-a12c-899deb409e03
MMRF_2760	14cd4620-c909-4856-92cf-e9b1cc202d47	1977a939-abf9-4df8-8e01-8c620d9b4899.wgs.gatk4.copy_number_variation.supplementary.tar.gz	239172219	14cd4620-c909-4856-92cf-e9b1cc202d47
MMRF_1485	280f3531-8379-4f68-9477-44745a361324	63bddede-782a-41a8-8840-60034e30ba9e_wgs_gdc_realn.cr.igv.reheader.seg.txt	59626	280f3531-8379-4f68-9477-44745a361324
MMRF_1533	530b6182-4664-42b9-a99a-388e784596f4	b62368f8-46f6-4b81-b30f-5322ee5014fa.wgs.gatk4.copy_number_variation.supplementary.tar.gz	241983378	530b6182-4664-42b9-a99a-388e784596f4
MMRF_1533	46fa819f-8e19-43b9-b90b-26ab8f8c592b	5c4bd53d-cb86-4dbd-b077-02203c7c0067_wgs_gdc_realn.cr.igv.reheader.seg.txt	110394	46fa819f-8e19-43b9-b90b-26ab8f8c592b
MMRF_2696	f3a0a6e5-fca0-4a36-a969-2e061399bc54	cf46ebdf-f43b-478e-9ae6-0c608be6bf6e.wgs.gatk4.copy_number_variation.supplementary.tar.gz	235004799	f3a0a6e5-fca0-4a36-a969-2e061399bc54
MMRF_2289	b014c895-4153-4912-b2a1-5ea4a79da9f4	2ba18939-66f8-4d39-ad7c-4c3f2b670f7a.wgs.gatk4.copy_number_variation.supplementary.tar.gz	235783006	b014c895-4153-4912-b2a1-5ea4a79da9f4
MMRF_1928	d4019b2b-7c1a-4a7b-82df-a4bd47871b95	a3e6f528-0098-40fb-8a7b-d35c339c3e5a.wgs.gatk4.copy_number_variation.supplementary.tar.gz	240057786	d4019b2b-7c1a-4a7b-82df-a4bd47871b95
MMRF_2291	6db59395-a636-45a7-87b2-dd72e64f80bf	6e76ecf6-7176-496d-8b10-c64692a43d33.wgs.gatk4.copy_number_variation.supplementary.tar.gz	239485004	6db59395-a636-45a7-87b2-dd72e64f80bf
MMRF_1179	9f04e6ac-80df-48f1-b7d3-2b0edc03defa	5fe31c2f-2d2c-4bbc-8285-55949c255349.wgs.gatk4.copy_number_variation.supplementary.tar.gz	260069556	9f04e6ac-80df-48f1-b7d3-2b0edc03defa
MMRF_1807	f2cf2d9f-1b55-4c6b-8e5e-8717a77fb924	9da79214-425c-405b-ae38-393f270bc8d5_wgs_gdc_realn.cr.igv.reheader.seg.txt	48861	f2cf2d9f-1b55-4c6b-8e5e-8717a77fb924
MMRF_1807	8674225d-3ab9-487d-9640-0ebacad8ebc8	73c07991-1111-4dfe-a7b7-301b346b8c9a.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238484929	8674225d-3ab9-487d-9640-0ebacad8ebc8
MMRF_2651	5b3ac388-ff67-4934-94d5-a4869004f6ca	5df823be-1bb5-455f-9290-bce31d5899ac.wgs.gatk4.copy_number_variation.supplementary.tar.gz	249744116	5b3ac388-ff67-4934-94d5-a4869004f6ca
MMRF_2651	97609ce2-10b6-43dd-8f5d-397614fff421	4ce460cc-b619-4006-92b0-edf6a6f0a885_wgs_gdc_realn.cr.igv.reheader.seg.txt	224632	97609ce2-10b6-43dd-8f5d-397614fff421
MMRF_2689	aa28482b-41f9-4cd0-b932-9bbffa7c8dca	3771e88f-0c73-4e0e-bfda-8fd9126b5eaa_wgs_gdc_realn.cr.igv.reheader.seg.txt	45823	aa28482b-41f9-4cd0-b932-9bbffa7c8dca
MMRF_1450	4841eca3-3217-4a24-bf72-531f8e2d1983	83ab1dec-e386-46a2-ac85-d4d58c200be0_wgs_gdc_realn.cr.igv.reheader.seg.txt	79981	4841eca3-3217-4a24-bf72-531f8e2d1983
MMRF_2143	a4d5e233-b6c6-4ebb-8c30-82408a8ec7c5	47a0bbe5-bf2c-4a87-a3ef-98aff6ddde62.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238397392	a4d5e233-b6c6-4ebb-8c30-82408a8ec7c5
MMRF_1624	e9b3d238-9827-4fa9-88d5-4b70fed6885c	c75250b5-5780-4985-972b-02b5784eb5f3.wgs.gatk4.copy_number_variation.supplementary.tar.gz	236206920	e9b3d238-9827-4fa9-88d5-4b70fed6885c
MMRF_1624	d93d2267-725d-449f-b073-10a62f8c10d8	fc6ca07b-bdb1-4e46-9613-48ee2298c119_wgs_gdc_realn.cr.igv.reheader.seg.txt	71773	d93d2267-725d-449f-b073-10a62f8c10d8
MMRF_1311	6ee741fa-490e-47a0-8b84-294b23ab3c26	4e9cfdfb-3fd7-42d4-b904-4b931b285ab8.wgs.gatk4.copy_number_variation.supplementary.tar.gz	227186972	6ee741fa-490e-47a0-8b84-294b23ab3c26
MMRF_1839	649e8cf2-cef6-4019-a1dd-8148aee1d093	540a7d5b-4534-4e7f-8348-57e4adcc5d64_wgs_gdc_realn.cr.igv.reheader.seg.txt	91967	649e8cf2-cef6-4019-a1dd-8148aee1d093
MMRF_2487	22b662ee-dddc-47f1-9767-06e578a142b9	684f0969-180f-4a17-b043-4fb2364340a5_wgs_gdc_realn.cr.igv.reheader.seg.txt	60671	22b662ee-dddc-47f1-9767-06e578a142b9
MMRF_1727	ec26b9bb-c089-48cc-a746-91d83c9d4d06	25e73e96-7e23-4369-9e56-be48c6bb52e5_wgs_gdc_realn.cr.igv.reheader.seg.txt	43312	ec26b9bb-c089-48cc-a746-91d83c9d4d06
MMRF_2307	800084e1-5f3d-4d4a-8e4d-abeb7c1cea1c	6fbab570-94d0-4d08-902c-9321261be5df.wgs.gatk4.copy_number_variation.supplementary.tar.gz	239196571	800084e1-5f3d-4d4a-8e4d-abeb7c1cea1c
MMRF_2307	cfd327a3-b109-403e-866d-c8c3ee5f9e91	2544ddc4-28be-4012-b108-d2fc68e8faeb_wgs_gdc_realn.cr.igv.reheader.seg.txt	47367	cfd327a3-b109-403e-866d-c8c3ee5f9e91
MMRF_1627	0ce41b80-4b84-4cc4-a095-ae21f76cd554	70f5f286-830c-4567-8deb-b354c1d42941_wgs_gdc_realn.cr.igv.reheader.seg.txt	71903	0ce41b80-4b84-4cc4-a095-ae21f76cd554
MMRF_1627	ac953901-c146-4c82-92f6-1e6fbee7f35a	2f99994c-d75c-49dc-9e5f-aef5f8ee04a5.wgs.gatk4.copy_number_variation.supplementary.tar.gz	236442361	ac953901-c146-4c82-92f6-1e6fbee7f35a
MMRF_2834	25e9f454-53a6-4ebf-b496-0e549815ac54	836e222a-b21f-4749-895c-7d8779841560_wgs_gdc_realn.cr.igv.reheader.seg.txt	57882	25e9f454-53a6-4ebf-b496-0e549815ac54
MMRF_2490	88ae36a6-d66b-40a1-a3ab-5f5e692fb788	41c2a7bb-6abd-4686-9897-98d28252cd1f.wgs.gatk4.copy_number_variation.supplementary.tar.gz	237495258	88ae36a6-d66b-40a1-a3ab-5f5e692fb788
MMRF_1790	fa81a8c5-25fb-4217-9e32-2de9add3eddb	2e726b0a-09ec-4879-969c-0d7ffd5fe640.wgs.gatk4.copy_number_variation.supplementary.tar.gz	240821431	fa81a8c5-25fb-4217-9e32-2de9add3eddb
MMRF_2490	5689baaf-d066-4568-bc80-c4a7823641c7	7b4e92eb-3652-47c9-9093-5141f9f90939_wgs_gdc_realn.cr.igv.reheader.seg.txt	51695	5689baaf-d066-4568-bc80-c4a7823641c7
MMRF_2593	87e3ff9a-0dda-4225-a016-e0ed6cf750e1	7ab032ad-6952-43fe-9e07-3458c1818ce1_wgs_gdc_realn.cr.igv.reheader.seg.txt	69289	87e3ff9a-0dda-4225-a016-e0ed6cf750e1
MMRF_2593	b0cd40a6-b018-4fc7-8078-8a1fb98a844f	97119a71-34fd-4356-8fee-fedd12639fe1.wgs.gatk4.copy_number_variation.supplementary.tar.gz	241154384	b0cd40a6-b018-4fc7-8078-8a1fb98a844f
MMRF_2436	fc249868-e1ef-431e-bfda-01750960e1f3	2900ea7c-3740-4b98-99be-ed338d9ab7be.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238477153	fc249868-e1ef-431e-bfda-01750960e1f3
MMRF_1825	5925e4d4-14a6-4cac-b8cb-c78ceb7dcec7	b255064a-f1cd-469e-b43e-e3347c0fc1ac.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238645717	5925e4d4-14a6-4cac-b8cb-c78ceb7dcec7
MMRF_2214	4a35f98a-1f1c-45e3-9c1d-d4e5ed00e19f	59e1d257-6774-48a2-ae0e-e59bcc07a60d.wgs.gatk4.copy_number_variation.supplementary.tar.gz	235919051	4a35f98a-1f1c-45e3-9c1d-d4e5ed00e19f
MMRF_2186	2ce787b6-2263-4e44-b879-77b821df76c4	9e4fdb87-2b71-4cc9-b98d-2785fc938852_wgs_gdc_realn.cr.igv.reheader.seg.txt	53356	2ce787b6-2263-4e44-b879-77b821df76c4
MMRF_1251	7fa5d627-4007-44d3-818e-00dc95719f7b	f7d44ada-169e-4a86-bc5d-330f12c76ccf_wgs_gdc_realn.cr.igv.reheader.seg.txt	79598	7fa5d627-4007-44d3-818e-00dc95719f7b
MMRF_2314	97276fc8-950e-425a-b189-6a752b37f66d	bc5e1eff-0cf7-4444-a542-5d867f390e31_wgs_gdc_realn.cr.igv.reheader.seg.txt	77638	97276fc8-950e-425a-b189-6a752b37f66d
MMRF_1970	98420dad-32c6-479b-9215-361ee2be0f09	ac7fa8f2-4fec-4ff1-acf7-0b79d0c00d06_wgs_gdc_realn.cr.igv.reheader.seg.txt	51506	98420dad-32c6-479b-9215-361ee2be0f09
MMRF_1851	ea14bc2b-5757-4d17-8675-274f4bbc9891	4ae1806c-5f8a-4d99-b725-2194dfa4d1ce.wgs.gatk4.copy_number_variation.supplementary.tar.gz	239296674	ea14bc2b-5757-4d17-8675-274f4bbc9891
MMRF_2201	ddce48d1-bc38-4066-9b3a-1321e200bdf7	b7e7940e-ef71-475c-af89-d851298c92c0.wgs.gatk4.copy_number_variation.supplementary.tar.gz	239371150	ddce48d1-bc38-4066-9b3a-1321e200bdf7
MMRF_1533	773f1bbd-1fe0-4457-8241-58b5cf95809b	f2d39134-c5f6-48d1-90cc-8f94210c6c80_wgs_gdc_realn.cr.igv.reheader.seg.txt	151604	773f1bbd-1fe0-4457-8241-58b5cf95809b
MMRF_2541	ff5f6910-8715-444d-a148-b3cfbb47c653	fe32aeb0-83b7-4e36-b9fd-4a5e056a90e2_wgs_gdc_realn.cr.igv.reheader.seg.txt	112267	ff5f6910-8715-444d-a148-b3cfbb47c653
MMRF_1021	765d0db3-ae9a-4596-aa7a-6d8e2aabe117	b9f88768-fd51-475c-a3be-b09727c88a91.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238022293	765d0db3-ae9a-4596-aa7a-6d8e2aabe117
MMRF_2485	2b7ca977-b00f-4c5e-b378-c052d5cf72b7	546e7279-140d-4e1c-9d69-e28e34d4d913.wgs.gatk4.copy_number_variation.supplementary.tar.gz	236604537	2b7ca977-b00f-4c5e-b378-c052d5cf72b7
MMRF_1960	a28ed9df-9ff0-47ba-8577-ac44b12bce81	72991ffe-98c5-4c59-b36e-f47c2f92bdae_wgs_gdc_realn.cr.igv.reheader.seg.txt	49936	a28ed9df-9ff0-47ba-8577-ac44b12bce81
MMRF_2478	f38e60fe-1cc6-42c0-b565-e9782359f558	584fa7af-629b-4d9b-8b6b-3b21c2bd82df.wgs.gatk4.copy_number_variation.supplementary.tar.gz	240917736	f38e60fe-1cc6-42c0-b565-e9782359f558
MMRF_1932	eaecfb55-2722-42c4-aa1c-7413fe77aff7	43e974ff-1af9-4900-9f71-5189bb61767e.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238271201	eaecfb55-2722-42c4-aa1c-7413fe77aff7
MMRF_2203	f322fb07-8ef3-4d2f-aab7-5d3b3af236e2	2cf04c28-8f69-45d1-a7dd-9612a3268c85_wgs_gdc_realn.cr.igv.reheader.seg.txt	105341	f322fb07-8ef3-4d2f-aab7-5d3b3af236e2
MMRF_1706	94471066-a345-4c4d-875c-fa523facbd4d	a9e73e45-358f-4e7c-89b7-afde5a87c99c_wgs_gdc_realn.cr.igv.reheader.seg.txt	39977	94471066-a345-4c4d-875c-fa523facbd4d
MMRF_1342	dc008c6a-75eb-4609-b481-f3a0d8454438	5c187b36-26f5-43ec-8988-ee6de821f8bb_wgs_gdc_realn.cr.igv.reheader.seg.txt	145633	dc008c6a-75eb-4609-b481-f3a0d8454438
MMRF_2271	76d04acc-e775-4991-b086-4d451fb553b6	66b49f17-339f-43ba-a9cb-649e85137180.wgs.gatk4.copy_number_variation.supplementary.tar.gz	244367991	76d04acc-e775-4991-b086-4d451fb553b6
MMRF_2111	ade1c036-d154-4414-b5ac-420d78a6a59c	b0dffbf2-5e3a-425b-bf11-8f7c2a1b2302_wgs_gdc_realn.cr.igv.reheader.seg.txt	58002	ade1c036-d154-4414-b5ac-420d78a6a59c
MMRF_1825	6e024aca-3f0c-44a7-9f05-1ba1c0375cb9	fb1e9c3f-f755-4a3f-bdb2-7d69cd7b7da5_wgs_gdc_realn.cr.igv.reheader.seg.txt	92180	6e024aca-3f0c-44a7-9f05-1ba1c0375cb9
MMRF_2016	2ff8bcf1-8645-438b-883d-18a9881bce4b	6312dad6-ad4b-4674-b981-7f17a5f9aae2.wgs.gatk4.copy_number_variation.supplementary.tar.gz	234935932	2ff8bcf1-8645-438b-883d-18a9881bce4b
MMRF_1772	6cef4fea-78c7-4f20-96d4-8cc2592152ee	2ea3bd20-9737-4ff8-a895-f1483cb8c3ba.wgs.gatk4.copy_number_variation.supplementary.tar.gz	238062355	6cef4fea-78c7-4f20-96d4-8cc2592152ee
MMRF_1772	66e01d8c-a20c-4cc0-a63e-efaa2c12d292	2cedc0f1-856a-4ea6-b755-ac091a1db6ec_wgs_gdc_realn.cr.igv.reheader.seg.txt	49721	66e01d8c-a20c-4cc0-a63e-efaa2c12d292
MMRF_1772	e29ec8b4-7494-4eb6-b48c-5b4d6145be5f	8166fb76-4208-47a0-aa6c-0685c5fec707_wgs_gdc_realn.cr.igv.reheader.seg.txt	46274	e29ec8b4-7494-4eb6-b48c-5b4d6145be5f
MMRF_1871	adc5699d-cec4-40e5-8147-18eec1e64e00	94d9ced4-2a19-440a-a66e-b9f9809924d6_wgs_gdc_realn.cr.igv.reheader.seg.txt	76791	adc5699d-cec4-40e5-8147-18eec1e64e00
MMRF_1671	556c7bd4-3af6-4b81-b888-21cd693e4e6a	298a07e4-41fa-49ae-afd9-14a3d0e3a4e3_wgs_gdc_realn.cr.igv.reheader.seg.txt	44584	556c7bd4-3af6-4b81-b888-21cd693e4e6a
