file_id	file_name	data_category	data_type	data_format	experimental_strategy	access	case_projects
68831f1e-7c6d-423e-8e19-cce4922237e9	9ce935a5-3d2f-4ab0-9785-b4a28313e8eb.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
65b2063f-32b1-4fa9-bc3b-2848fbd938f8	9974ae21-5813-43a1-89e0-60775e89bd4b_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
059b9cff-d1f5-4e60-b7c4-1b0dcf582b36	87c86cea-14f2-497f-8d8e-25d2297ef4d2_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
01888e3c-45ec-493f-9a8a-57cada28dc6c	1b166f66-85d0-4c18-aaee-fe0abe0338d1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
c25100fd-eb22-483c-9bb2-26257a6f4049	4a1f5f72-d9c0-4cee-b69a-5e9baea6f665.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
cecfa7eb-7774-4acb-a939-7fc2c6e6ef10	28ee3050-59fa-4b12-ae15-94b8314e6f6b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
520bce32-b4fb-4fe3-b28a-7452a80b309e	3bd6f4ca-ae2e-45f2-876f-d86f8da1a809.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
23cac246-f7c5-4780-aa7e-a4d0b5431306	45906cb3-d65c-474b-ac79-01c217ec44b1_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
438b6fcb-c193-49bb-8fc8-796ab701f0eb	ce2a08cd-8f72-403f-afa9-d378bc0df604.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
0dae3ae4-ff51-4e6d-8af8-1cf7b0564cc8	f46ca1cd-dbbf-4b21-a46e-2e9c3394285a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
e52a425e-d4a1-4a9e-9165-7fd2815bbbdc	e0ff105b-d0b5-4be0-a914-4fb90cc928ed_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
7635407f-e8f3-4f06-9865-e86204f4a1ef	4b4aa7f6-947e-40cf-bdf1-896f95ea6952.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
