dataset	variable	outcome	outcome_label	n	n_event	delta_event_minus_nonevent	auc_event	median_split_or	mannwhitney_p	mannwhitney_fdr	median_split_fisher_p	median_split_fisher_fdr	logrank_chi2	logrank_p	logrank_fdr	best_fdr
GSE24080	clinical_subtype_module_score_z	efs_24mo_event	24-month EFS event	559	118	0.04225676874183845	0.4990583804143126	1.1824046920821114	0.9751716416904214	0.9751716416904214	0.4683431765222259	0.72541352793606				0.72541352793606
GSE24080	plasma_secretory_score_z	efs_24mo_event	24-month EFS event	559	118	-0.08874231259644724	0.483415965256159	0.8026825221238938	0.5799404579689971	0.9751716416904214	0.30159195039184056	0.72541352793606				0.72541352793606
GSE24080	TXNDC5_z	efs_24mo_event	24-month EFS event	559	118	0.001379989266365761	0.4919578000691802	0.995475113122172	0.788519756114383	0.9751716416904214	1.0	1.0				0.9751716416904214
GSE24080	POU2AF1_z	efs_24mo_event	24-month EFS event	559	118	0.07215752671348469	0.5060436604020139	1.1325360419397117	0.8403109164846928	0.9751716416904214	0.6045112732800499	0.72541352793606				0.72541352793606
GSE24080	XBP1_z	efs_24mo_event	24-month EFS event	559	118	-0.24985354084596947	0.4301856335754641	0.6983127839065542	0.019753438855534353	0.11852063313320613	0.09723062446092072	0.5833837467655243				0.11852063313320613
GSE24080	JCHAIN_z	efs_24mo_event	24-month EFS event	559	118	0.06859441532883592	0.5380395095891464	1.1325360419397117	0.20410709205596267	0.612321276167888	0.6045112732800499	0.72541352793606				0.612321276167888
GSE24080	clinical_subtype_module_score_z	os_24mo_event	24-month OS death	559	78	-0.018726911287808415	0.4693747001439309	0.8838703201846834	0.38540741372063303	0.7172361255994955	0.6274711566495974	0.7529653879795168				0.7172361255994955
GSE24080	plasma_secretory_score_z	os_24mo_event	24-month OS death	559	78	-0.11849245328979591	0.45154325923556693	0.7381744271988174	0.1695748300123202	0.5087244900369606	0.22459413936214775	0.6737824180864432				0.5087244900369606
GSE24080	TXNDC5_z	os_24mo_event	24-month OS death	559	78	-0.07175944185097657	0.4749720134335519	0.832552693208431	0.4781574170663303	0.7172361255994955	0.46655131083746904	0.6998269662562036				0.6998269662562036
GSE24080	POU2AF1_z	os_24mo_event	24-month OS death	559	78	0.09229952610093059	0.5152593421824191	1.264858348402652	0.6655323618425046	0.7417732685630636	0.3930370878544018	0.6998269662562036				0.6998269662562036
GSE24080	XBP1_z	os_24mo_event	24-month OS death	559	78	-0.3912423039981081	0.4031398262167493	0.6094468085106383	0.006032506465670834	0.036195038794025004	0.05088278642823811	0.30529671856942864				0.036195038794025004
GSE24080	JCHAIN_z	os_24mo_event	24-month OS death	559	78	-0.0037042727464753067	0.5116344154805693	0.9382231404958677	0.7417732685630636	0.7417732685630636	0.8083066495320663	0.8083066495320663				0.7417732685630636
GSE2658	clinical_subtype_module_score_z	SURIND	Disease-related death indicator	559	100	0.1932253866897423	0.5464488017429194	1.4028574408176036	0.14528676973654225	0.2905735394730845	0.151226211369263	0.2268393170538945				0.2268393170538945
GSE2658	clinical_subtype_module_score_z	SURTIM/SURIND	Disease-related survival	558	99								0.010677761934104288	0.917698481880724	0.9822679755138776	0.9822679755138776
