analysis_type	feature	score	n	n_feature_0	n_feature_1	effect	effect_label	statistic	p_value	fdr
binary_mannwhitney	Cytogenetic_High_Risk	plasma_secretory_score_z	648	454	194	0.010149263438831945	median_feature1_minus_feature0	45612.0	0.4709391707328784	0.598810071395448
binary_mannwhitney	Cytogenetic_High_Risk	clinical_subtype_module_score_z	648	454	194	-0.17239494126168176	median_feature1_minus_feature0	40825.0	0.14104393457087283	0.2294952155729456
binary_mannwhitney	Cytogenetic_High_Risk	TXNDC5_z	648	454	194	-0.03540700716301925	median_feature1_minus_feature0	43408.0	0.7730202557910165	0.8579184341726889
binary_mannwhitney	Cytogenetic_High_Risk	POU2AF1_z	648	454	194	-0.1606461790460286	median_feature1_minus_feature0	42721.0	0.54637655880279	0.6749852623631635
binary_mannwhitney	Cytogenetic_High_Risk	XBP1_z	648	454	194	-0.104475211007933	median_feature1_minus_feature0	43658.0	0.8619592573661436	0.894573931969187
binary_mannwhitney	Cytogenetic_High_Risk	JCHAIN_z	648	454	194	-0.22149882374933763	median_feature1_minus_feature0	38104.0	0.0065552487370062786	0.019363196269310854
binary_mannwhitney	Cp_1q21_Call	plasma_secretory_score_z	680	440	240	0.26762193276273366	median_feature1_minus_feature0	64405.0	2.1333633839561516e-06	1.2412296052108519e-05
binary_mannwhitney	Cp_1q21_Call	clinical_subtype_module_score_z	680	440	240	-0.11185319132522695	median_feature1_minus_feature0	50511.0	0.34987216220134953	0.47975765727406927
binary_mannwhitney	Cp_1q21_Call	TXNDC5_z	680	440	240	0.23096384523631788	median_feature1_minus_feature0	60175.0	0.0025916091226240562	0.008433711043115572
binary_mannwhitney	Cp_1q21_Call	POU2AF1_z	680	440	240	-0.007125091412100049	median_feature1_minus_feature0	50339.0	0.314849586686235	0.4380515988678052
binary_mannwhitney	Cp_1q21_Call	XBP1_z	680	440	240	0.1426054953543763	median_feature1_minus_feature0	56948.0	0.09022222715823577	0.1646206726129175
binary_mannwhitney	Cp_1q21_Call	JCHAIN_z	680	440	240	-0.22604150011037766	median_feature1_minus_feature0	46865.0	0.01534196600386489	0.0409119093436397
binary_mannwhitney	Cp_17p13_Call	plasma_secretory_score_z	680	593	87	0.1277254363285065	median_feature1_minus_feature0	28740.0	0.08533208021881426	0.1575361480962725
binary_mannwhitney	Cp_17p13_Call	clinical_subtype_module_score_z	680	593	87	0.22954811050596818	median_feature1_minus_feature0	30246.0	0.009303401968223853	0.0262684290867497
binary_mannwhitney	Cp_17p13_Call	TXNDC5_z	680	593	87	-0.1217781636063142	median_feature1_minus_feature0	23405.0	0.16247975080537014	0.2578191087159592
binary_mannwhitney	Cp_17p13_Call	POU2AF1_z	680	593	87	0.3366962307547608	median_feature1_minus_feature0	31239.0	0.0014674997011695685	0.005324743203083363
binary_mannwhitney	Cp_17p13_Call	XBP1_z	680	593	87	0.0442980795562727	median_feature1_minus_feature0	27919.0	0.2147025466438206	0.32458967681585477
binary_mannwhitney	Cp_17p13_Call	JCHAIN_z	680	593	87	0.04252579741978291	median_feature1_minus_feature0	26400.0	0.7240931159085202	0.8082899898513713
binary_mannwhitney	Cp_13q14_Call	plasma_secretory_score_z	680	331	349	0.163137226603088	median_feature1_minus_feature0	66870.0	0.00037365680556714277	0.0015264278014657747
binary_mannwhitney	Cp_13q14_Call	clinical_subtype_module_score_z	680	331	349	-0.1182149171226671	median_feature1_minus_feature0	52876.0	0.05650558412262137	0.11541566118663088
binary_mannwhitney	Cp_13q14_Call	TXNDC5_z	680	331	349	0.1573927865590734	median_feature1_minus_feature0	62751.0	0.051260013706869466	0.10815299595295536
binary_mannwhitney	Cp_13q14_Call	POU2AF1_z	680	331	349	-0.016230525785393198	median_feature1_minus_feature0	57651.0	0.9663546225235181	0.9712553232914789
binary_mannwhitney	Cp_13q14_Call	XBP1_z	680	331	349	0.0178840571982058	median_feature1_minus_feature0	58697.0	0.7143972320598235	0.8068486385616831
binary_mannwhitney	Cp_13q14_Call	JCHAIN_z	680	331	349	-0.3017602891694128	median_feature1_minus_feature0	47242.0	3.9988851196991124e-05	0.000196868190508264
binary_mannwhitney	Hyperdiploid_Call	plasma_secretory_score_z	680	290	390	-0.05908314543689155	median_feature1_minus_feature0	51699.0	0.055546787909835485	0.11467723955578939
binary_mannwhitney	Hyperdiploid_Call	clinical_subtype_module_score_z	680	290	390	0.0086610518722232	median_feature1_minus_feature0	56754.0	0.935978857122916	0.9558933008914887
binary_mannwhitney	Hyperdiploid_Call	TXNDC5_z	680	290	390	-0.29554056762884323	median_feature1_minus_feature0	49459.0	0.005130235539742952	0.015390706619228856
binary_mannwhitney	Hyperdiploid_Call	POU2AF1_z	680	290	390	0.10734874550352505	median_feature1_minus_feature0	60434.0	0.12530462759288832	0.21103937278802243
binary_mannwhitney	Hyperdiploid_Call	XBP1_z	680	290	390	-0.025506123643379	median_feature1_minus_feature0	54699.0	0.4651312382906587	0.5953679850120431
binary_mannwhitney	Hyperdiploid_Call	JCHAIN_z	680	290	390	-0.07583824486611901	median_feature1_minus_feature0	52290.0	0.09270527855052736	0.16634965870748836
binary_mannwhitney	CCND1_Tx_Call	plasma_secretory_score_z	667	537	130	-0.07300407387267302	median_feature1_minus_feature0	31222.0	0.061756401646816284	0.12099213383866048
binary_mannwhitney	CCND1_Tx_Call	clinical_subtype_module_score_z	667	537	130	0.1983670383109791	median_feature1_minus_feature0	38169.0	0.09782465797355945	0.17114270678021476
binary_mannwhitney	CCND1_Tx_Call	TXNDC5_z	667	537	130	0.10246737269192696	median_feature1_minus_feature0	36016.0	0.5732108508462819	0.6965600212815577
binary_mannwhitney	CCND1_Tx_Call	POU2AF1_z	667	537	130	-0.0497385675776915	median_feature1_minus_feature0	32848.0	0.29685043666981425	0.4190829694162083
binary_mannwhitney	CCND1_Tx_Call	XBP1_z	667	537	130	-0.19234648401532115	median_feature1_minus_feature0	31250.0	0.06376248743756911	0.12366058169710373
