GSM	Title	Group	neighbor_feature	neighbor_feature_label	n_spots	high_spots	other_spots	plasma_high_threshold_q75	neighbor_median_plasma_high	neighbor_median_other	median_difference_high_minus_other	mannwhitney_p	analysis_note	fdr
GSM8329293	hMM1	MM	cycling_proliferation_score	Cycling	373	94	279	1.239198807649359	0.17781494250378643	0.10141743129016108	0.07639751121362535	1.0650816677248773e-07	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.3254349642798473e-07
GSM8329294	hMM2	MM	cycling_proliferation_score	Cycling	876	219	657	1.3306737406787987	0.2835946112318611	0.16073611232454335	0.12285849890731773	1.0345391580412293e-09	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	1.4130290939099718e-09
GSM8329295	hMM3	MM	cycling_proliferation_score	Cycling	977	245	732	1.6433132704726907	0.1935532056856032	0.15633177844179796	0.03722142724380523	2.3928212089107726e-05	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	2.679959753980065e-05
GSM8329296	hMM4	MM	cycling_proliferation_score	Cycling	1126	282	844	1.1234165966097363	0.05208781009235566	0.0	0.05208781009235566	1.8923652944212812e-19	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	4.415519020316323e-19
GSM8329297	hMM5	MM	cycling_proliferation_score	Cycling	2993	749	2244	1.5961236900862303	0.054691048614246916	0.0	0.054691048614246916	8.659174760194988e-38	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	3.4636699040779953e-37
GSM8329298	hMM6	MM	cycling_proliferation_score	Cycling	875	219	656	0.8778015033811581	0.1780977920057254	0.06491176787218535	0.11318602413354005	1.562298153757957e-27	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	5.4680435381528496e-27
GSM8329291	hHBM2	control	cycling_proliferation_score	Cycling	822	206	616	0.20487118377339097	0.13063201159529603	0.09252028144383817	0.03811173015145786	2.1126787916428832e-05	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	2.4144900475918665e-05
GSM8329293	hMM1	MM	endothelial_angiogenic_score	Endothelial angiogenic	373	94	279	1.239198807649359	0.18076302503934527	0.08669848242200838	0.09406454261733689	3.5529975023476984e-08	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	4.521996821169798e-08
GSM8329294	hMM2	MM	endothelial_angiogenic_score	Endothelial angiogenic	876	219	657	1.3306737406787987	0.3379365585061557	0.14354982954134327	0.19438672896481246	1.861168668259161e-21	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	4.963116448691096e-21
GSM8329295	hMM3	MM	endothelial_angiogenic_score	Endothelial angiogenic	977	245	732	1.6433132704726907	0.3757697152919522	0.16318669511559297	0.21258302017635922	2.4513635940541015e-85	Neighbor feature mean among 6 nearest spots, excluding the focal spot, compared for plasma-secretory top-quartile versus other spots within each sample. Reported neighbor features exclude plasma-secretory module genes and omit plasma-cell marker scores to reduce circularity.	4.575878708900989e-84
