gene	candidate_category	validation_priority	mean_MM_sample_log_norm	mean_control_sample_log_norm	MM_minus_control_sample_log_norm	cohen_d_sample_level	mannwhitney_p_sample_level	MM_samples_above_control_median	mean_MM_pct_detected	mean_control_pct_detected	best_spatial_region_signature	best_region_high_minus_low_mean_log	region_positive_samples	region_samples_tested	candidate_score
TXNDC5	region_linked_plasma_secretory	high	1.8997594011576229	0.14966927347658632	1.7500901276810366	2.7909119211126203	0.023809523809523808	6	0.5249989958608722	0.060668925133005015	plasma_secretory	1.5765742407072574	9	9	6.763855712848551
JCHAIN	canonical_plasma_support	supporting_marker	2.026949444628014	0.21080446217184742	1.8161449824561666	1.1309194500075712	0.047619047619047616	6	0.4885514515747631	0.07457323911415353	plasma_secretory	1.4288557006512335	9	9	6.616731140771693
IGHG1	canonical_plasma_support	supporting_marker	2.3542679247925338	0.2468419466026512	2.1074259781898825	1.0368762831082121	0.09523809523809523	5	0.4967171369760692	0.08659472170805255	plasma_secretory	0.8148139695337521	9	9	4.780732631221664
B2M	region_linked_plasma_secretory	high	1.1153866148923266	0.041459344849613895	1.0739272700427127	2.0068421009405206	0.023809523809523808	6	0.3596758201255365	0.015432077206952359	plasma_secretory	0.913990647333641	9	9	3.083230126167452
VIM	region_linked_plasma_secretory	high	1.5778353867651187	0.5332745087851992	1.0445608779799196	1.968008845443242	0.047619047619047616	6	0.4799674054762569	0.19165376391653802	plasma_secretory	0.9149089609201143	9	9	3.000358478205495
XBP1	canonical_plasma_support	supporting_marker	0.8854423745376137	0.06976461670142488	0.8156777578361888	3.1955308225230294	0.023809523809523808	6	0.32012107711329696	0.027218787956398413	plasma_secretory	1.1517085368705218	9	9	2.6326511923073
MZB1	canonical_plasma_support	supporting_marker	0.8686662394524703	0.07314460882342981	0.7955216306290406	2.0957192373436078	0.023809523809523808	6	0.31177348328595583	0.02950325382134832	plasma_secretory	1.1049040604661606	9	9	2.5117450657495928
CD74	region_linked_plasma_secretory	high	1.132430426594476	0.1438410655878492	0.9885893610066268	1.4703051260075441	0.023809523809523808	6	0.3727569528927448	0.05641548019573375	plasma_secretory	0.6880895235565405	9	9	2.503241015122112
IGKC	canonical_plasma_support	supporting_marker	2.7576647337962736	1.1410497039064997	1.616615029889774	0.6542072925125834	0.7142857142857142	3	0.5250801245285213	0.3260127203653895	plasma_secretory	0.8635290961586918	9	9	2.2594568591152853
OAZ1	region_linked_plasma_secretory	high	1.092626807706681	0.2694036062526508	0.8232232014540302	2.6965046868251394	0.023809523809523808	6	0.3763151825218876	0.10616732053535753	plasma_secretory	0.8269683525837146	9	9	2.256004104253741
TMSB4X	region_linked_plasma_secretory	high	2.18369018540174	1.3680941853259856	0.8155960000757545	0.780383019374158	0.26190476190476186	5	0.5783909669743583	0.3928959204026435	plasma_secretory	1.0555293210318168	9	9	2.095601865339977
