cluster	GSM	Title	Group	plasma_secretory_score	myeloid_inflammatory_score	t_nk_cytotoxic_exhaustion_score	stromal_ecm_score	endothelial_angiogenic_score	erythroid_megak_score	cycling_proliferation_score
1	GSM8329290	hHBM1	control	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	GSM8329290	hHBM1	control	0.0	0.0	0.0	0.0	0.0	0.5362025678930724	0.0
4	GSM8329290	hHBM1	control	0.5122360436573137	0.33936199242097587	0.0	0.0	0.0	0.5524295084412266	0.0
3	GSM8329290	hHBM1	control	0.30391173228085755	1.0155968273971887	0.12897616457255906	0.3220929774611472	0.0	1.2665078157543126	0.49876428615600166
7	GSM8329290	hHBM1	control	0.0	0.0	0.0	0.0	0.0	0.5844855788560491	0.0
1	GSM8329291	hHBM2	control	0.0	0.4016300045533935	0.0	0.21383059134174537	0.0	0.5715380074132825	0.0
5	GSM8329291	hHBM2	control	0.0	0.34528999641471	0.0	0.0	0.0	0.5489903259708154	0.0
7	GSM8329291	hHBM2	control	0.0	0.0	0.0	0.0	0.0	0.27991727212241907	0.0
4	GSM8329291	hHBM2	control	0.46427334060288983	0.0	0.0	0.4923276523793644	0.0	0.0	0.0
1	GSM8329292	hHBM3	control	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	GSM8329292	hHBM3	control	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	GSM8329292	hHBM3	control	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	GSM8329292	hHBM3	control	0.4764556306383163	0.0	0.0	0.0	0.0	0.0	0.0
6	GSM8329293	hMM1	MM	1.0392850755257554	0.7106101941289928	0.0	0.4885014625045041	0.0	0.6920363423205642	0.0
1	GSM8329293	hMM1	MM	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	GSM8329293	hMM1	MM	0.6992366873441144	0.1897127516917896	0.0	0.20515184167330155	0.0	0.3111230104847962	0.0
7	GSM8329293	hMM1	MM	0.6630598348970975	0.24457680866999876	0.0	0.1860704548705794	0.0	0.6345678900848836	0.0
5	GSM8329293	hMM1	MM	0.5097434363093951	0.4341803440117263	0.0	0.0	0.0	0.0	0.0
3	GSM8329294	hMM2	MM	1.2132910741761198	1.4688278015995695	0.2523547400507662	0.5966388398564365	0.2963551849837604	1.3651352014390088	0.33093791035125175
1	GSM8329294	hMM2	MM	0.0	0.8480713547805814	0.0	0.0	0.0	0.8534583820111968	0.0
5	GSM8329294	hMM2	MM	0.39197243644149316	0.9316273844731418	0.0	0.0	0.0	1.0039342469416006	0.0
7	GSM8329294	hMM2	MM	0.0	0.0	0.0	0.0	0.0	0.38789579188280104	0.0
4	GSM8329294	hMM2	MM	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	GSM8329295	hMM3	MM	0.37838416690889876	0.4106247011699661	0.0	0.1656155399837567	0.0	0.41604132766436586	0.0
2	GSM8329295	hMM3	MM	2.208656341806718	0.2747574553993105	0.09047980389989585	0.43732423587359975	0.35843349288048754	0.14371521152162162	0.18073648879145301
4	GSM8329295	hMM3	MM	0.9137538564061861	0.18263340184218696	0.0	0.0	0.0	0.0	0.0
7	GSM8329295	hMM3	MM	1.3925371857854159	0.0	0.0	0.3067322091062644	0.0	0.0	0.0
7	GSM8329296	hMM4	MM	0.5073485883541801	0.31134888999445565	0.0	0.37174825223668556	0.0	0.6680573835186004	0.0
1	GSM8329296	hMM4	MM	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	GSM8329296	hMM4	MM	0.45214614624926097	0.0	0.0	0.0	0.0	0.6649623451570317	0.0
4	GSM8329296	hMM4	MM	0.5997171691307657	0.5636488300702165	0.0	0.0	0.0	0.36625112795756765	0.0
1	GSM8329297	hMM5	MM	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	GSM8329297	hMM5	MM	1.0156490301297028	0.0	0.0	0.40517358186181024	0.0	0.0	0.0
0	GSM8329297	hMM5	MM	1.745395190178803	0.0	0.0	1.0397661573177022	0.0	0.0	0.0
5	GSM8329297	hMM5	MM	0.6572682063274632	0.0	0.0	0.0	0.0	0.0	0.0
7	GSM8329297	hMM5	MM	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	GSM8329298	hMM6	MM	0.4348187117661171	0.0	0.0	0.0	0.0	0.0	0.0
1	GSM8329298	hMM6	MM	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	GSM8329298	hMM6	MM	0.6813544494621113	0.0	0.0	0.0	0.0	0.0	0.0
7	GSM8329298	hMM6	MM	0.0	0.0	0.0	0.0	0.0	0.0	0.0
