comparison	label	rank	gene	mean_in_log_norm	mean_out_log_norm	log_norm_difference	pct_in	pct_out	score
group	MM	1	JCHAIN	3.18251020948555	0.23610231878707813	2.9464078906984716	0.6257617728531826	0.08036794964899512	1.6069526642270253
group	MM	2	TXNDC5	1.8199274365754723	0.15085851507813308	1.669068921497339	0.4854570637119376	0.0602759622367467	0.7096565624802476
group	MM	3	IGHG1	1.9678848603758767	0.25443639245417066	1.7134484679217061	0.4058171745152497	0.08569353667392841	0.548515356804735
group	MM	4	B2M	1.4132584929384577	0.04520573999666513	1.3680527529417925	0.3958448753462731	0.016702977487291194	0.5186861171215561
group	MM	5	IGHA1	2.1960934570282884	0.4414184762362179	1.7546749807920705	0.41481994459835353	0.1307189542483645	0.4985048997853752
group	MM	6	CD74	1.325050053498666	0.15572176901607845	1.1693282844825876	0.38365650969530174	0.05979181796175275	0.3787041443892729
group	MM	7	VIM	1.7410614834709697	0.5208463959999342	1.2202150874710354	0.47908587257620255	0.18421689663519444	0.35980357327035184
group	MM	8	IGKC	2.4995897757229892	1.1200607345753721	1.379529041147617	0.49764542936290895	0.3091261195836368	0.26006786265760995
group	MM	9	XBP1	0.8410744856205773	0.07116569188509038	0.7699087937354869	0.28531855955678276	0.027354151537158096	0.1986090662050782
group	MM	10	PIM2	0.834075032434242	0.048803278681884624	0.7852717537523574	0.26094182825484	0.021544420237230695	0.18799202243775673
group	MM	11	OAZ1	1.0068277371906145	0.2674901640926495	0.739337573097965	0.32728531855955917	0.10433309126119496	0.16483695864755846
group	MM	12	COL1A1	0.8616063287065756	0.1114198038855277	0.7501865248210479	0.26689750692520103	0.047446138949407024	0.1646294591089859
group	MM	13	ITM2C	0.8556149723509179	0.1450078894923353	0.7106070828585825	0.28961218836564767	0.0583393851367709	0.1643440920469991
group	MM	14	UBE2J1	0.7232355013263282	0.07332146006036766	0.6499140412659605	0.2566481994459751	0.03098523359961272	0.14666153009727181
group	MM	15	MZB1	0.7010506912958305	0.06472606412455582	0.6363246271712747	0.24362880886425697	0.02614379084967322	0.13839107300346798
group	MM	16	POU2AF1	0.6906130383692601	0.06486695624220055	0.6257460821270596	0.24390581717450627	0.028322440087145996	0.13490045358413622
