gene	variance	detected_spots
JCHAIN	7.319977396960824	4850
IGKC	6.739131043387273	4870
IGHA1	6.215914745924515	3535
IGHG1	5.299408060606359	3284
HBA2	5.013960123518409	4981
TMSB4X	3.5409552899039487	4649
VIM	3.283317213348818	4220
TXNDC5	3.2828586394707333	3754
B2M	2.731991448062423	2927
S100A8	2.7035678440031887	2950
CD74	2.6458849425603628	3017
S100A9	2.199896198790908	2467
SRGN	1.977954576501579	2728
COL3A1	1.9278379909741692	2406
OAZ1	1.873676212570785	2794
TMSB10	1.8662635694563297	2885
COL1A1	1.8341496682527088	2123
PIM2	1.7116812483558266	1973
ITM2C	1.6614019465258507	2332
H1FX	1.6135666922361738	2645
HBB	1.6098906701083642	1707
FTH1	1.5438145941873023	2579
HBD	1.4913817997264522	1946
XBP1	1.4889014242921905	2173
APOE	1.4247930038704215	2262
MCL1	1.423629730893974	2374
COL1A2	1.4041301087870304	1678
CXCL12	1.3867663788969096	2057
TXNIP	1.3784580118562852	2214
TAPBP	1.3742525020473262	2362
FBXW7	1.338813396216537	2173
FGFR3	1.3241739591796857	1250
LYZ	1.3240200343256556	2020
PFN1	1.2957821863249948	2149
UBE2J1	1.2877527745207684	1981
MZB1	1.2648399039793188	1867
POU2AF1	1.2369894765160971	1878
CYBA	1.2212710674116758	1961
UBA52	1.197104647674225	1988
AZU1	1.176889971355149	1598
S100A6	1.1768346754055972	1887
ACTB	1.1589119449728034	1946
CIRBP	1.1447226127396597	2026
FTL	1.1346443544620255	1799
FOS	1.1262782982441601	1686
EEF2	1.0883732844849914	1859
CFLAR	1.0655318830157723	1981
GSTP1	1.0580817937882152	1751
SPARC	1.056149618629049	1624
AHNAK	1.050235747746107	1663
SERF2	1.0438206686368416	1902
RABGAP1L	1.0415287637434933	1923
HIST1H1C	1.0406977094920482	1720
DERL3	1.0237696839960466	1593
TAF11L6	1.0237605167869293	1850
CCNL2	1.022739720207292	1985
USP17L15	1.011790584656332	2026
ZNF550	0.9812955360317671	1416
HNRNPA2B1	0.9610059007545693	1786
DDIT4	0.9594276953383343	1573
PSAP	0.9585801522709276	1694
RSRP1	0.9559159221916063	1913
LENG8	0.9557793840403033	1783
OGT	0.9502971958248649	1770
EID1	0.943735948513174	1742
MYL6	0.9398360687744299	1665
H3F3A	0.9282833141087383	1684
MPO	0.920434479315451	1366
TENT5C	0.9165664211464652	1637
CXCR4	0.9145407590041937	1630
PNRC1	0.9127821560594873	1484
LUC7L3	0.9102725033026409	1825
IL2RG	0.9092189187712789	1394
CCND1	0.9063861200297528	1197
USP17L3	0.9061051741234644	1579
BTG2	0.895149846933756	1628
TNFRSF17	0.8930099528457539	1497
FRZB	0.8920114693893864	1480
CD44	0.8870217393313968	1445
TSC22D3	0.8835021702103251	1605
SEC11C	0.8806998165370531	1416
